Year,Date,Opponent,Score,Result,Location,stadium
2019,2019-10-13,LAC,24-17,L,Away,StubHub Center
2019,2019-10-28,MIA,27-14,W,Home,Heinz Field
2019,2019-11-03,IND,26-24,W,Home,Heinz Field
2019,2019-11-10,LA,17-12,W,Home,Heinz Field
2019,2019-11-14,CLE,7-21,W,Away,FirstEnergy Stadium
2019,2019-11-24,CIN,16-10,L,Away,Paul Brown Stadium
2019,2019-12-01,CLE,20-13,W,Home,Heinz Field
2019,2019-12-08,ARI,23-17,L,Away,State Farm Stadium
2019,2019-12-15,BUF,10-17,L,Home,Heinz Field
2019,2019-12-22,NYJ,10-16,W,Away,MetLife Stadium
2019,2019-12-29,BAL,10-28,W,Away,M&T Bank Stadium
2020,2020-09-14,NYG,26-16,L,Away,MetLife Stadium
2020,2020-09-20,DEN,26-21,W,Home,Heinz Field
2020,2020-09-27,HOU,28-21,W,Home,Heinz Field
2020,2020-10-11,PHI,38-29,W,Home,Heinz Field
2020,2020-10-18,CLE,38-7,W,Home,Heinz Field
2020,2020-10-25,TEN,27-24,L,Away,Nissan Stadium
2020,2020-11-01,BAL,28-24,L,Away,M&T Bank Stadium
2020,2020-11-08,DAL,24-19,L,Away,AT&T Stadium
2020,2020-11-15,CIN,36-10,W,Home,Heinz Field
2020,2020-11-22,JAX,27-3,L,Away,TIAA Bank Stadium
2020,2020-12-02,BAL,19-14,W,Home,Heinz Field
2020,2020-12-07,WAS,17-23,L,Home,Heinz Field
2020,2020-12-13,BUF,15-26,W,Away,New Era Field
2020,2020-12-21,CIN,17-27,W,Away,Paul Brown Stadium
2020,2020-12-27,IND,28-24,W,Home,Heinz Field
2020,2021-01-03,CLE,22-24,W,Away,FirstEnergy Stadium
2020,2021-01-10,CLE,37-48,L,Home,Heinz Field
2021,2021-09-12,BUF,23-16,L,Away,New Era Field
2021,2021-09-19,LV,17-26,L,Home,Heinz Field
2021,2021-09-26,CIN,10-24,L,Home,Heinz Field
2021,2021-10-03,GB,17-27,W,Away,Lambeau Field
2021,2021-10-10,DEN,27-19,W,Home,Heinz Field
2021,2021-10-17,SEA,23-20,W,Home,Heinz Field
2021,2021-10-31,CLE,15-10,L,Away,FirstEnergy Stadium
2021,2021-11-08,CHI,29-27,W,Home,Heinz Field
2021,2021-11-14,DET,16-16,T,Home,Heinz Field
2021,2021-11-21,LAC,37-41,W,Away,SoFi Stadium
2021,2021-11-28,CIN,10-41,W,Away,Paul Brown Stadium
2021,2021-12-05,BAL,20-19,W,Home,Heinz Field
2021,2021-12-09,MIN,28-36,W,Away,U.S. Bank Stadium
2021,2021-12-19,TEN,19-13,W,Home,Heinz Field
2021,2021-12-26,KC,10-36,W,Away,GEHA Field at Arrowhead Stadium
2021,2022-01-03,CLE,26-14,W,Home,Heinz Field
2021,2022-01-09,BAL,16-13,L,Away,M&T Bank Stadium
2021,2022-01-16,KC,21-42,W,Away,GEHA Field at Arrowhead Stadium
2022,2022-09-11,CIN,23-20,L,Away,Paycor Stadium
2022,2022-09-18,NE,14-17,L,Home,Acrisure Stadium
2022,2022-09-22,CLE,17-29,W,Away,FirstEnergy Stadium
2022,2022-10-02,NYJ,20-24,L,Home,Acrisure Stadium
2022,2022-10-09,BUF,3-38,W,Away,New Era Field
2022,2022-10-16,TB,20-18,W,Home,Acrisure Stadium
2022,2022-10-23,MIA,10-16,W,Away,Hard Rock Stadium
2022,2022-10-30,PHI,13-35,W,Away,Lincoln Financial Field
2022,2022-11-13,NO,20-10,W,Home,Acrisure Stadium
2022,2022-11-20,CIN,30-37,L,Home,Acrisure Stadium
2022,2022-11-28,IND,24-17,L,Away,Lucas Oil Stadium
2022,2022-12-04,ATL,19-16,L,Away,Mercedes-Benz Stadium
2022,2022-12-11,BAL,14-16,L,Home,Acrisure Stadium
2022,2022-12-18,CAR,24-16,L,Away,Bank of America Stadium
2022,2022-12-24,LV,13-10,W,Home,Acrisure Stadium
2022,2023-01-01,BAL,16-13,L,Away,M&T Bank Stadium
2022,2023-01-08,CLE,28-14,W,Home,Acrisure Stadium
2023,2023-09-10,SF,7-30,L,Home,Acrisure Stadium
2023,2023-09-18,CLE,26-22,W,Home,Acrisure Stadium
2023,2023-09-24,LV,23-18,L,Away,Allegiant Stadium
2023,2023-10-01,HOU,6-30,W,Away,NRG Stadium
2023,2023-10-08,BAL,17-10,W,Home,Acrisure Stadium
2023,2023-10-22,LA,24-17,L,Away,SoFi Stadium
2023,2023-10-29,JAX,10-20,L,Home,Acrisure Stadium
2023,2023-11-02,TEN,20-16,W,Home,Acrisure Stadium
2023,2023-11-12,GB,23-19,W,Home,Acrisure Stadium
2023,2023-11-19,CLE,10-13,W,Away,FirstEnergy Stadium
2023,2023-11-26,CIN,16-10,L,Away,Paycor Stadium
2023,2023-12-03,ARI,10-24,L,Home,Acrisure Stadium
2023,2023-12-07,NE,18-21,L,Home,Acrisure Stadium
2023,2023-12-16,IND,13-30,W,Away,Lucas Oil Stadium
2023,2023-12-23,CIN,34-11,W,Home,Acrisure Stadium
2023,2023-12-31,SEA,30-23,L,Away,Lumen Field
2023,2024-01-06,BAL,17-10,L,Away,M&T Bank Stadium
2023,2024-01-15,BUF,17-31,W,Away,New Era Field
2024,2024-09-08,ATL,18-10,L,Away,Mercedes-Benz Stadium
2024,2024-09-15,DEN,13-6,L,Away,Empower Field at Mile High
2024,2024-09-22,LAC,20-10,W,Home,Acrisure Stadium
2024,2024-09-29,IND,24-27,W,Away,Lucas Oil Stadium
2024,2024-10-06,DAL,17-20,L,Home,Acrisure Stadium
2024,2024-10-13,LV,32-13,L,Away,Allegiant Stadium
